name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
NVIC0088,O=C[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)CC(C)C)CC(C)C)CC(C)C,475.304621412,3,5,14,3.5882000000000023,113.60000000000001
NVIC0089,COc1ccc(cc1)P(=S)(N1CCOCC1)S,289.036007382,1,3,3,1.892,21.700000000000003
NVIC0090,ClCCN(C(COc1ccccc1)C)Cc1ccccc1,303.138992004,0,2,8,4.194900000000003,12.47
NVIC0091,O=C(N1CC(=O)N2C(C1)c1ccccc1CC2)C1CCCCC1,312.183778008,0,2,1,2.5349000000000004,40.620000000000005
NVIC0092,Fc1c[nH]c(=O)c(n1)C(=O)N,157.028754588,2,3,1,-0.9921000000000002,88.84
NVIC0093,OC(COc1cccc2c1cccc2)CNC(C)C,259.157228912,2,3,6,2.5775000000000006,41.49
NVIC0094,O=C1CC(c2ccc3c(c2)OCO3)c2c(N1)[nH]c(nc2=O)SCc1cccc(c1)F,425.08455521199994,2,6,4,3.4041000000000015,93.31
NVIC0095,O=C(Nc1ccccc1F)N[C@H]1N=C(c2ccccc2)c2c(NC1=O)cccc2,388.133554004,3,3,3,3.7630000000000017,82.59
NVIC0096,C/C=C/CC(C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)O)C,1201.841367992,5,12,15,3.269000000000003,278.8
NVIC0097,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCC/C/2=C\C=C/1\C[C@@H](O)CCC1=C)C)C,384.33921602799995,1,1,6,7.6190000000000095,20.23
NVIC0098,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,610.1533848799999,10,16,6,-1.687100000000001,269.42999999999995
