name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
341Pathogen_box,COCC(C)NC(=O)CSc1ncnc2sc(cc12)c1ccccc1,373.09186884800005,1.0,6.0,7.0,3.6015000000000015,64.11
342Pathogen_box,O(c1ccccc1)c1ccc(cc1)c1cncc(n1)c1ccc2nccc2c1,,,,,,
343Pathogen_box,COc1ccc(cc1OC)c1nnc2ccc(cn12)c1cccc(c1)C(C)C,373.179026976,0.0,5.0,5.0,5.203900000000004,48.650000000000006
344Pathogen_box,COc1ccc(cc1)c1cnc2cnc(cn12)c1cccc(OC(C)C)c1,359.163376912,0.0,5.0,5.0,4.859100000000003,48.650000000000006
345Pathogen_box,C1CCN(C1)C(c1ccccn1)c1c(nc2ccccc12)c1ccccc1,,,,,,
346Pathogen_box,Cc1ccccc1C(=O)N1N=C(Nc2ccccc2)SC1(C)C,325.124883228,1.0,4.0,2.0,4.303220000000003,44.7
347Pathogen_box,CN1CCN(CC1)C(c1cccs1)c1c(C)nc2ccccc12,,,,,,
348Pathogen_box,CNc1nnc(Sc2c(Cl)c(=O)n(nc2)c2ccccc2)s1,351.00152962,1.0,8.0,4.0,2.930300000000001,72.7
349Pathogen_box,CS(=O)(=O)c1ccc(cc1[N+](=O)[O-])C(=O)N(CC1CCCO1)c1nc2ccccc2s1,461.07152732800006,0.0,8.0,6.0,3.4338000000000024,119.71
350Pathogen_box,Cc1c(Sc2ncccn2)c(C)n(n1)C(=O)Nc1cccc(C(F)(F)F)c1,393.087115728,1.0,6.0,3.0,4.540140000000002,72.7
351Pathogen_box,COc1ccc(c(O)c1)c1onc(c1c1ccc(Cl)cc1)C(F)(F)F,369.037955552,1.0,4.0,3.0,5.395000000000003,55.49
352Pathogen_box,CC(C)c1ccc(NC(=O)COc2cc(c(C#N)c(=O)n2C)C)cc1,339.158291532,1.0,5.0,5.0,2.7063000000000006,84.12
353Pathogen_box,Clc1ccc([C@@](C)(c2ccccc2)OCCC2N(C)CCC2)cc1,343.170292132,0.0,2.0,6.0,5.104400000000005,12.47
354Pathogen_box,Clc1cc2nc(N)oc2cc1,168.00904046,1.0,3.0,0.0,2.0633999999999997,52.05
355Pathogen_box,CC(=O)N1CCN(CC1)c1ccc(Oc2ccc(Cl)cc2O)cc1,346.108420148,1.0,4.0,3.0,3.506400000000002,53.010000000000005
356Pathogen_box,Nc1nc(N)c2c3CCN(Cc4ccccc4)Cc3sc2n1,311.12046654400007,2.0,6.0,2.0,2.4140000000000006,81.05999999999999
357Pathogen_box,CC(C)(C)OC(=O)N1CCC(Cn2nc(c3cnc4ccccc4c3)c3c(N)ncnc23)CC1,459.2382731680001,1.0,8.0,3.0,4.270800000000002,112.05
358Pathogen_box,Nc1ncnc2n(CC3CCNCC3)nc(c3cnc4ccccc4c3)c12,359.18584367200003,2.0,7.0,3.0,2.6233000000000004,94.53999999999999
359Pathogen_box,CC(C)n1nc(c2cc3c(Cl)cccc3n2)c2c(N)ncnc12,,,,,,
360Pathogen_box,Nc1ncnc2nnc(Cc3cccc4ccccc34)c12,,,,,,
361Pathogen_box,CS(=O)(=O)N1CCC(CCn2nc(Cc3cccc4ccccc34)c3c(N)ncnc23)CC1,464.19944513600007,1.0,7.0,6.0,3.214200000000001,107.0
362Pathogen_box,CC(C(=O)Nc1ccc2oc(nc2c1)c1ccncc1)c1ccccc1,343.132076784,1.0,4.0,4.0,4.632000000000003,68.02000000000001
363Pathogen_box,CC(Oc1cccc(Cl)c1)C(=O)Nc1ccc2oc(nc2c1)c1ccncc1,393.08801905200005,1.0,5.0,5.0,4.949200000000003,77.25
364Pathogen_box,Fc1ccc(cc1)c1nc(cc1c1ccncc1)C1CCN(CC1)C(=O)OCc1ccccc1,,,,,,
365Pathogen_box,CC(C)(C)n1nc(c2ccccc2)c2c(N)ncnc12,267.148395544,1.0,5.0,1.0,2.8305,69.62
366Pathogen_box,CN1CCC(CC1)c1cc(c(n1)c1ccc(F)cc1)c1ccncc1,,,,,,
367Pathogen_box,Cc1cc2nc(NC(=O)C(C)(C)C)nc(Cl)c2n1Cc1ccc(Cl)cc1,390.10141661999995,1.0,4.0,3.0,5.079420000000004,59.81
368Pathogen_box,CC(C)(C)n1nc(Cc2ccc(F)c(Cl)c2)c2c(N)ncnc12,333.1156514440001,1.0,5.0,2.0,3.546800000000001,69.62
369Pathogen_box,Cc1cc(NC(=O)c2ccc(Oc3ccc(Cl)cc3O)o2)no1,334.03564913199995,2.0,6.0,4.0,3.979620000000002,97.73
370Pathogen_box,COC(=O)c1ccc(F)cc1NS(=O)(=O)c1cccc(c1)c1cnn(Cc2ccccc2)c1,465.11585534000005,1.0,6.0,7.0,4.324900000000003,90.28999999999999
371Pathogen_box,CC(C)(C)OC(=O)N1CCN(CC1)c1nccc(n1)c1ccc(s1)c1ccc(Cl)cc1,456.13867472,0.0,6.0,3.0,5.582600000000006,58.56
372Pathogen_box,CC(C)(C)C(=O)N(CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)C1CCCCCC1,442.34067257199996,4.0,6.0,9.0,1.9034999999999993,104.47000000000001
373Pathogen_box,OC[C@H]1O[C@H](C(O)[C@H]1O)n1c2ccc(Cl)cc2c2c(ncnc12)c1oc2ccccc2c1,451.09349835600005,3.0,8.0,3.0,3.2626000000000017,113.77
374Pathogen_box,Clc1ccc(cc1)[C@@H]1[C@H](Oc2ccccc2)C(=O)N1CCn1cnc2c(NCc3ccccc3)ncnc12,524.1727517200002,1.0,7.0,9.0,5.122900000000004,85.17
375Pathogen_box,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,554.156890332,1.0,4.0,8.0,7.1305000000000085,45.59
376Pathogen_box,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1,340.18992600800004,4.0,4.0,10.0,2.8828400000000007,118.2
377Pathogen_box,O=C(C1CCCCC1)N1CC2N(CCc3ccccc23)C(=O)C1,312.18377800799993,0.0,2.0,1.0,2.5349000000000004,40.620000000000005
378Pathogen_box,CC(C)N=c1cc2n(c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1,472.12215206400003,1.0,4.0,4.0,7.489800000000005,42.21
379Pathogen_box,NCCCC(N)(C(F)F)C(=O)O,182.086684064,3.0,3.0,5.0,-0.22749999999999987,89.34
380Pathogen_box,Cc1ccc(cc1NC(=O)c1cccc(NC(=O)Nc2cccc(c2)C(=O)Nc2cc(ccc2C)C(=O)Nc2ccc(c3cc(cc(c23)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c1)C(=O)Nc1ccc(c2cc(cc(c12)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,1296.0469075399994,12.0,17.0,16.0,6.743240000000005,483.74999999999994
381Pathogen_box,CCN(CC)CCCCCCNc1cc(OC)cc2c(C)ccnc12,343.262362676,1.0,4.0,11.0,4.8659200000000045,37.39
382Pathogen_box,[O-][N+](=O)c1nccn1CC(=O)NCc1ccccc1,260.090940244,1.0,5.0,5.0,1.1076999999999995,90.06
383Pathogen_box,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c2c(O)cccc12)O)O,444.1532657279999,6.0,9.0,2.0,-0.34759999999999863,181.61999999999998
384Pathogen_box,CC[C@@H]([C@H](C)O)n1ncn(c1=O)c1ccc(cc1)N1CCN(CC1)c1ccc(OC[C@@H]2CO[C@](Cn3cncn3)(C2)c2ccc(F)cc2F)cc1,700.329708264,1.0,12.0,12.0,4.5732000000000035,115.70000000000002
385Pathogen_box,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],307.026291388,1.0,7.0,4.0,2.2289000000000003,111.43
386Pathogen_box,CC[C@H](CO)NCCN[C@H](CC)CO,204.183778008,4.0,4.0,9.0,-0.292599999999999,64.52
387Pathogen_box,O=C1C(=C(C(=O)c2c1cccc2)O)CC1CCC(C(C)(C)C)CC1,326.18819469199997,1.0,3.0,2.0,5.120300000000005,54.370000000000005
388Pathogen_box,COC(=O)Nc1nc2cc(ccc2n1)C(=O)c1ccccc1,,,,,,
389Pathogen_box,COc1cc(NC(C)CCCN)c2ncccc2c1,259.168462292,2.0,4.0,6.0,2.782700000000001,60.17
390Pathogen_box,O[C@H]([C@H]1CCCCN1)c1cc(nc2c(cccc12)C(F)(F)F)C(F)(F)F,378.11668245199996,2.0,3.0,2.0,4.447900000000002,45.15
391Pathogen_box,CC(=O)NC[C@@H]1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1,337.14378434,1.0,5.0,4.0,1.1235999999999993,71.11
392Pathogen_box,CNC1C(O)C(O)C(CO)OC1OC1C(OC2C(O)C(O)C(NC(=N)N)C(O)C2NC(=N)N)OC(C)C1(O)C=O,581.2656696880001,14.0,15.0,9.0,-7.741760000000009,331.43
393Pathogen_box,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(cn1c23)C(=O)O,361.14378433999997,1.0,6.0,2.0,1.544,75.01
394Pathogen_box,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C2=O)c2c(O)/c(=C\NN4CCN(C)CC4)/c(=N/C(=O)/C(=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)/C)/c(c2c(c3C)O)O,822.4051232960002,6.0,15.0,4.0,2.451820000000004,220.14999999999995
395Pathogen_box,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(=O)O,923.487849876,12.0,17.0,3.0,0.7117000000000075,319.61
396Pathogen_box,CC1CS(=O)(=O)CCN1/N=C/c1oc(cc1)[N+](=O)[O-],287.057591516,0.0,7.0,3.0,0.6406000000000001,106.02000000000001
397Pathogen_box,CCN(CC)C(=O)N1CCN(C)CC1,199.168462292,0.0,2.0,2.0,0.6956,26.790000000000006
398Pathogen_box,NCCC(O)C(=O)N[C@@H]1C[C@H](N)[C@@H](OC2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)C1OC1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,585.2857364359998,13.0,17.0,10.0,-8.424200000000015,331.93999999999994
399Pathogen_box,CCP(=[Au]S[C@H]1O[C@@H](COC(=O)C)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)(CC)CC,678.132683998,0.0,10.0,10.0,2.7925000000000004,114.43
400Pathogen_box,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,407.316445582,0.0,4.0,20.0,5.675500000000006,58.59
