name1,name2,TanimotoCoefficient
NVIC_0002,CNP0188010.1,1.0
NVIC_0002,CNP0241154.2,0.8428571428571429
NVIC_0002,CNP0116309.2,0.828125
NVIC_0002,CNP0241154.1,0.8428571428571429
NVIC_0002,CNP0116309.3,0.828125
NVIC_0002,CNP0116309.1,0.828125
NVIC_0002,CNP0402956.1,0.828125
NVIC_0002,CNP0188663.1,0.8428571428571429
NVIC_0002,CNP0172713.1,0.8805970149253731
NVIC_0002,CNP0485996.1,0.8571428571428571
NVIC_0003,CNP0434774.1,1.0
NVIC_0007,CNP0154601.2,1.0
NVIC_0007,CNP0154601.1,1.0
NVIC_0007,CNP0154601.3,1.0
NVIC_0007,CNP0546166.1,0.8405797101449275
NVIC_0009,CNP0299666.0,1.0
NVIC_0010,CNP0197124.1,0.835820895522388
NVIC_0010,CNP0235895.1,0.8805970149253731
NVIC_0010,CNP0150430.1,0.8636363636363636
NVIC_0010,CNP0174856.4,1.0
NVIC_0010,CNP0174856.2,1.0
NVIC_0010,CNP0174856.3,1.0
NVIC_0010,CNP0235895.2,0.8805970149253731
NVIC_0010,CNP0174856.1,1.0
NVIC_0011,CNP0298366.0,0.8108108108108109
NVIC_0011,CNP0298404.0,1.0
NVIC_0011,CNP0216887.0,0.8108108108108109
NVIC_0012,CNP0252513.4,1.0
NVIC_0012,CNP0246211.13,1.0
NVIC_0012,CNP0208561.14,0.8421052631578947
NVIC_0012,CNP0208561.4,0.8421052631578947
NVIC_0012,CNP0208561.8,0.8421052631578947
NVIC_0012,CNP0208561.2,0.8421052631578947
NVIC_0012,CNP0252513.1,1.0
NVIC_0012,CNP0208561.15,0.8421052631578947
NVIC_0012,CNP0507844.1,0.8222222222222222
NVIC_0012,CNP0292378.3,1.0
NVIC_0012,CNP0208561.6,0.8421052631578947
NVIC_0012,CNP0208561.12,0.8421052631578947
NVIC_0012,CNP0246211.7,1.0
NVIC_0012,CNP0246211.18,1.0
NVIC_0012,CNP0252513.3,1.0
NVIC_0012,CNP0208561.10,0.8421052631578947
NVIC_0012,CNP0246211.4,1.0
NVIC_0012,CNP0246211.2,1.0
NVIC_0012,CNP0208561.9,0.8421052631578947
NVIC_0012,CNP0207672.3,0.9230769230769231
NVIC_0012,CNP0091176.1,0.8222222222222222
NVIC_0012,CNP0208561.1,0.8421052631578947
NVIC_0012,CNP0246211.15,1.0
NVIC_0012,CNP0208561.17,0.8421052631578947
NVIC_0012,CNP0263945.2,0.8444444444444444
NVIC_0012,CNP0263945.1,0.8444444444444444
NVIC_0012,CNP0207672.4,0.9230769230769231
NVIC_0012,CNP0246211.5,1.0
NVIC_0012,CNP0207672.5,0.9230769230769231
NVIC_0012,CNP0167209.6,0.9743589743589743
NVIC_0012,CNP0327945.1,1.0
NVIC_0012,CNP0207672.2,0.9230769230769231
NVIC_0012,CNP0246211.20,1.0
NVIC_0012,CNP0246211.16,1.0
NVIC_0012,CNP0167209.5,1.0
NVIC_0012,CNP0261531.2,0.8536585365853658
NVIC_0012,CNP0292378.2,1.0
NVIC_0012,CNP0167209.4,1.0
NVIC_0012,CNP0167209.2,1.0
NVIC_0012,CNP0358957.2,0.9487179487179487
NVIC_0012,CNP0246211.3,1.0
NVIC_0012,CNP0292378.1,1.0
NVIC_0012,CNP0254449.0,0.9487179487179487
NVIC_0012,CNP0167209.3,1.0
NVIC_0012,CNP0208561.11,0.8421052631578947
NVIC_0012,CNP0198302.1,1.0
NVIC_0012,CNP0212541.1,0.8444444444444444
NVIC_0012,CNP0252513.5,1.0
NVIC_0012,CNP0246211.14,1.0
