name,smiles
76-avr-enamine,CC(CO)(NC(=O)Nc1nnc(s1)C(F)F)C1CC1
77-avr-enamine,NCCc1csc(n1)N1CCCC1
78-avr-enamine,CN(C)CCNC(=O)Cn1ccc(N)n1
79-avr-enamine,OC(=O)c1cncc(c1)N1CCOCC1
80-avr-enamine,COc1nc(N)nc(n1)N1CCOCC1
81-avr-enamine,CC(Cn1ccnc1)NC(=O)N1CCCC1
82-avr-enamine,Clc1cnn(CC(=O)NC2CC2)c(=O)c1Cl
83-avr-enamine,NC(=O)c1cc(CCO)c([nH]c1=O)C(F)(F)F
84-avr-enamine,CC(C)C(C)NC(=O)CNCCn1cccn1
85-avr-enamine,CCC(=O)NCc1ccc(nc1)N1CCOCC1
86-avr-enamine,O=C(Cn1ccnc1)NC1(CCCCCC1)C#N
87-avr-enamine,Cc1nn(C)c(C)c1CC(=O)NC1(CCCCC1)C(=O)O
88-avr-enamine,O=C(NC1CCCCNC1=O)Nc1ccncc1
89-avr-enamine,CC(NCc1nc2cc(Cl)ccc2n1CCO)C(C)n1cccn1
90-avr-enamine,CC(Cn1cccn1)NC(=O)N1CCCC(C1)NC(=O)C
91-avr-enamine,FC(F)(F)CNC(=O)Nc1ccc(nc1)N1CCCC1
92-avr-enamine,O=C(NCC1CCN(C1)C1CC1)Nc1cccnc1
93-avr-enamine,O=C(NCC(C1CCOC1)N1CCOCC1)Nc1cccnc1
94-avr-enamine,CC(C)C(C)NC(=O)Cn1c(ccc(C(=O)N)c1=O)C(F)(F)F
95-avr-enamine,CC(C)C(C)N(C)C(=O)Nc1cnn(CC(=O)N)c1
96-avr-enamine,[O-][N+](=O)c1ccc(=O)n(CC(=O)NCC2CCCCC2)c1
97-avr-enamine,CC(NC(=O)Nc1cccnc1N1CCCC1)C(=O)NC1CCCC1
98-avr-enamine,CCCNC(=O)CNC(=O)Cn1nc(C)c(Cl)c1C
99-avr-enamine,Cc1cc(NC(=O)NCC2CCCO2)no1
100-avr-enamine,CC(=O)N1CCC(CC1)NC(=O)Nc1cccnc1N1CCCC1
101-avr-enamine,CC(NC(=O)Cc1c(C)nn(C)c1C)C1CCCO1
102-avr-enamine,CC(NC(=O)Cn1cc(ccc1=O)C(F)(F)F)C1CCCO1
103-avr-enamine,CC(C)N1CCC(CC1)NC(=O)Cn1ncsc1=O
104-avr-enamine,C=CCNC(=O)Nc1ccc(nc1)N1CCCCC1
105-avr-enamine,CC1CN(CC(C)O1)c1ccc(NC(=O)NCC2CCCO2)cn1
106-avr-enamine,CC(C)CCn1ncc(NC(=O)NC2(C)CCOC2)c1C
107-avr-enamine,COCC(=O)Nc1ccc(OC)nc1N1CCN(CC1)C(=O)C
108-avr-enamine,CNC(=O)c1cccnc1NC1CC2CCC1O2
109-avr-enamine,CCNC(=O)c1ccc(nc1)N1CCOCC1
110-avr-enamine,CCN(C1CC1)C(=O)Cc1csc(n1)N1CCNC1=O
111-avr-enamine,CC(Cn1cc(C)cn1)NCC(O)CN1CCC(C)CC1
112-avr-enamine,CS(=O)(=O)N(C1CCCCC1)C(=O)NC(=O)Nc1cccnc1
113-avr-enamine,CN(C(=O)NCCC(=O)NC1CCCC1)c1ccccn1
114-avr-enamine,Cc1nnc(NC(=O)NC2CCC(O)CC2)s1
115-avr-enamine,CC(C(=O)NCC1CCCO1)n1cncn1
116-avr-enamine,CC(C)CCC(=O)NCc1cccnc1N1CCOCC1
117-avr-enamine,CN1CCC(CC1)NC(=O)Nc1cc(c[nH]c1=O)C(F)(F)F
118-avr-enamine,COc1ccc(COCC(O)Cn2cnc3cc(F)c(F)cc23)cc1
119-avr-enamine,CCN1CCN(CC1)C(=O)C(C)NCCn1cc(C)cn1
120-avr-enamine,CCCS(=O)(=O)NCC(O)c1ccccn1
121-avr-enamine,Cc1ccc(=O)n(CC(O)COc2cccc3[nH]ccc23)n1
122-avr-enamine,CCc1noc(CC)c1CC(=O)NCC(=O)O
123-avr-enamine,Cc1cc(CS(=O)(=O)NCC2CCCCC2)on1
124-avr-enamine,Cc1cc(NC(=O)NCC2CCN(CCO)CC2)no1
125-avr-enamine,CC(CNC(=O)NC1CCCSC1)c1nc(C)cs1
126-avr-enamine,CN1CC(CCC1=O)NC(=O)Nc1cc(on1)C(C)(C)C
127-avr-enamine,CN1CCC(O)(CNC(=O)Nc2nc(C)cs2)CC1
128-avr-enamine,Cc1cnc(C)c(NCCOCC2CCCO2)n1
129-avr-enamine,CCC(CC)C(=O)NCC(C)(O)c1cnn(C)c1
130-avr-enamine,Cc1csc(NC(=O)NCC2CCN(CC#N)CC2)n1
131-avr-enamine,CC1(C)CC(CC(C)(C)N1)NC(=O)Nc1ccc(F)cn1
132-avr-enamine,CCSC1CCCC1NC(=O)Nc1cc(C)on1
133-avr-enamine,Cl.Cl.Cn1cnnc1C1CNCCO1
134-avr-enamine,CCCNC(=O)Cn1ccc(=O)[nH]c1=O
135-avr-enamine,Cc1cc(NC(=O)NC2CCCC2)no1
136-avr-enamine,CC(Cn1cccn1)NCC(=O)NC1CC1
137-avr-enamine,CCC(C)NC(=O)Cn1ccc(=O)[nH]c1=O
138-avr-enamine,CC(O)(Cn1cc(ccc1=O)C(F)(F)F)C(=O)O
139-avr-enamine,Cn1cc(CCNC(=O)N2CCCCCC2)cn1
140-avr-enamine,CC(CN(C)CC(O)Cn1cnc2cc(C)c(C)cc12)C#N
141-avr-enamine,CC(NC(=O)Nc1ccccn1)C(=O)N1CCCC1
142-avr-enamine,Cc1nc(C)c(CC(=O)NC2CCCC2)c(=O)[nH]1
143-avr-enamine,COCCn1c(SCC(=O)NC2CCCC2)nc2ccccc12
144-avr-enamine,FC(F)(F)COc1ccc(NC(=O)NC2CCOCC2)cn1
145-avr-enamine,CC1CN(CC(C)O1)C(=O)CCNC(=O)Nc1cccnc1
146-avr-enamine,CC1CCCCC1NC(=O)Nc1ccccn1
147-avr-enamine,COCCn1c(SCc2cccc(N)n2)nc2ccccc12
148-avr-enamine,Clc1cnn(CC(=O)NC(=O)NC2CCCCC2)c(=O)c1Cl
149-avr-enamine,Cc1cc2ncn(CC(O)CSc3nncs3)c2cc1C
150-avr-enamine,COCCOc1ccc(NC(=O)N2CCCN(CC2)C(=O)C)cn1
151-avr-enamine,CC(NC(=O)NCCc1ccncc1C)C(=O)N1CCCCC1C
152-avr-enamine,OCCNc1nc2ccccc2n1CC1CCCO1
153-avr-enamine,Cn1c(=O)n(C)c2ncn(CC(O)c3ccc(Cl)cc3)c2c1=O
