ZINC000000346078; 1.000; COC(=O)CN(C#N)C1=NC(NC(C)C)=NC(NC(C)C)=N1
ZINC000000206675; 0.851; CCNC1=NC(NC(C)C)=NC(=N1)N(CC(=O)OC)C#N
ZINC000000282953; 0.830; COC(=O)CN(C#N)C1=NC(NC(C)C)=NC(OC)=N1
ZINC000026951738; 0.646; CC(C)NC1=NC(=NC(NC(C)C)=N1)N(CC(=O)N(C)C)C#N
ZINC000000181478; 0.630; COC(=O)CN(C#N)C1=NC(=NC(=N1)N(C)C)N(C)C
ZINC000000348007; 0.609; COCN(C#N)C1=NC(NC(C)C)=NC(NC(C)C)=N1
ZINC000000209868; 0.600; CCNC1=NC(NC(C)(C)C)=NC(=N1)N(CC(=O)OC)C#N
ZINC000000181412; 0.593; CNC1=NC(SC)=NC(=N1)N(CC(=O)OC)C#N
ZINC000000027641; 0.587; CCCN(C#N)C1=NC(NC(C)C)=NC(NC(C)C)=N1
ZINC000000270478; 0.578; CCN(C#N)C1=NC(NC(C)C)=NC(NC(C)C)=N1
ZINC000000282952; 0.571; CCNC1=NC(SC)=NC(=N1)N(CC(=O)OC)C#N
ZINC000000346063; 0.565; CC(C)NC1=NC(=NC(NC(C)C)=N1)N(CC#N)C#N
ZINC000000346048; 0.565; CC(C)NC1=NC(=NC(NC(C)C)=N1)N(CC#C)C#N
ZINC000000246555; 0.558; COC(=O)CN(C#N)C1=NC(OC)=NC(=N1)N(C)C
ZINC000000267513; 0.558; COC(=O)CN(C#N)C1=NC(Cl)=NC(=N1)N(C)C
ZINC000016576574; 0.547; CCN(CC)C1=NC(=NC(=N1)N(CC(=O)OC)C#N)N(C)C
ZINC000000068553; 0.542; CC(C)NC1=NC(=NC(NC(C)C)=N1)N(CC=C)C#N
ZINC000000114181; 0.537; COC(=O)CN(C#N)C1=NC(SC)=NC(=N1)N(C)C
ZINC000000027640; 0.519; CCCN(C#N)C1=NC(NCC)=NC(NC(C)C)=N1
ZINC000004813932; 0.509; COC(=O)CSC1=NC(NC#N)=NC(NC(C)C)=N1
ZINC000000804340; 0.491; COC(=O)CSC1=NC(NC(C)C)=NC(=N1)N(C)C
