ZINC000013518964; 0.522; NC1=C2N=CN([C@@H]3O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]3O)C2=NC=N1
ZINC000003830180; 0.522; NC1=C2N=CN([C@H]3O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000001571045; 0.522; NC1=C2N=CN([C@@H]3O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000001842158; 0.522; NC1=C2N=CN([C@H]3O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]3O)C2=NC=N1
ZINC000002126310; 0.522; NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]3O)C2=NC=N1
ZINC000003201891; 0.522; NC1=C2N=CN([C@@H]3O[C@@H](COP(O)(O)=O)[C@@H](O)[C@@H]3O)C2=NC=N1
ZINC000003201893; 0.522; NC1=C2N=CN([C@H]3O[C@@H](COP(O)(O)=O)[C@@H](O)[C@@H]3O)C2=NC=N1
ZINC000003977897; 0.522; NC1=C2N=CN([C@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000003860156; 0.522; NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000008613167; 0.522; NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]3O)C2=NC=N1
ZINC000001532515; 0.522; NC1=C2N=CN([C@H]3O[C@@H](COP(O)(O)=O)[C@H](O)[C@@H]3O)C2=NC=N1
ZINC000002046931; 0.522; NC1=C2N=CN([C@@H]3O[C@@H](COP(O)(O)=O)[C@H](O)[C@@H]3O)C2=NC=N1
ZINC000004806442; 0.522; NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@H](O)[C@H]3O)C2=NC=N1
ZINC000005250139; 0.500; NC1=C2N=CN=C2N(C=N1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
ZINC000005250138; 0.500; NC1=C2N=CN=C2N(C=N1)[C@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
ZINC000005250137; 0.500; NC1=C2N=CN=C2N(C=N1)[C@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ZINC000001560705; 0.500; NC1=C2N=CN=C2N(C=N1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ZINC000088466335; 0.471; NC(=O)C1=C(N)N=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
