ZINC000071757363; 0.521; OC[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)C(O)=O
ZINC000067913716; 0.442; C[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](C)C#N
ZINC000067913713; 0.442; C[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)C#N
ZINC000067913718; 0.442; C[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)C#N
ZINC000113599125; 0.442; CCCCC[C@@H](CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000067913710; 0.442; C[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](C)C#N
ZINC000113599128; 0.442; CCCCC[C@H](CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000004096365; 0.418; OC[C@H]1O[C@@H](O[C@H](C#N)C2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000257355257; 0.418; OC[C@@H]1O[C@@H](O[C@@H](C#N)C2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H]1O
ZINC000000902008; 0.418; OC[C@@H]1O[C@H](O[C@H](C#N)C2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H]1O
ZINC000004095477; 0.418; OC[C@H]1O[C@@H](O[C@@H](C#N)C2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000000895405; 0.418; OC[C@@H]1O[C@H](O[C@@H](C#N)C2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H]1O
ZINC000097975807; 0.418; OC[C@@H]1O[C@@H](O[C@H](C#N)C2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H]1O
ZINC000001532536; 0.417; OC[C@@H]1O[C@H](OP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000004095569; 0.417; OC[C@H]1O[C@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000001532537; 0.417; OC[C@@H]1O[C@@H](OP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000004073375; 0.417; OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000003953999; 0.417; OC[C@H]1O[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000004096091; 0.417; OC[C@H]1O[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O
ZINC000004096092; 0.417; OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O
ZINC000003869662; 0.417; OC[C@H]1O[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@H]1O
ZINC000003869663; 0.417; OC[C@@H]1O[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@H]1O
ZINC000003869664; 0.417; OC[C@H]1O[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000001757599; 0.417; OC[C@@H]1O[C@H](OC2CCCCC2)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000104182748; 0.417; OC[C@@H]1O[C@H](OC2CCCCC2)[C@H](O)[C@H](O)[C@@H]1O
ZINC000104182754; 0.417; OC[C@@H]1O[C@@H](OC2CCCCC2)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000104182752; 0.417; OC[C@@H]1O[C@@H](OC2CCCCC2)[C@H](O)[C@H](O)[C@@H]1O
ZINC000003869665; 0.417; OC[C@@H]1O[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000067913873; 0.414; CC\\C=C/C[C@@H](O)C[C@H](C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000067913872; 0.414; CC\\C=C/C[C@H](O)C[C@H](C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000067913867; 0.414; CC\\C=C/C[C@H](O)C[C@@H](C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000067913869; 0.414; CC\\C=C/C[C@@H](O)C[C@@H](C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000604381448; 0.412; CC(C)CCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000238755582; 0.412; CC[C@H](C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000604381280; 0.412; CC[C@@H](C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000140672126; 0.411; CCCCC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=C
ZINC000095913977; 0.411; CCCCC[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=C
ZINC000000068655; 0.408; OC[C@@H]1O[C@H](OC2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H]1O
ZINC000000518973; 0.408; OC[C@@H]1O[C@H](OC2=CC=CC=C2)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000004081957; 0.408; OC[C@H]1O[C@H](OC2=CC=CC=C2)[C@H](O)[C@@H](O)[C@H]1O
ZINC000002567895; 0.408; OC[C@@H]1O[C@@H](OC2=CC=CC=C2)[C@@H](O)[C@H](O)[C@H]1O
ZINC000004095887; 0.408; OC[C@H]1O[C@@H](OC2=CC=CC=C2)[C@H](O)[C@@H](O)[C@H]1O
ZINC000004096022; 0.408; OC[C@H]1O[C@@H](OC2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000001081065; 0.408; OC[C@@H]1O[C@@H](OC2=CC=CC=C2)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000013424760; 0.408; OC[C@H]1O[C@@H](OC2=CC=CC=C2)[C@@H](O)[C@H](O)[C@@H]1O
ZINC000006116014; 0.408; OC[C@H]1O[C@H](OC2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000004304316; 0.408; OC[C@@H]1O[C@@H](OC2=CC=CC=C2)[C@H](O)[C@H](O)[C@@H]1O
ZINC000004304314; 0.408; OC[C@@H]1O[C@H](OC2=CC=CC=C2)[C@H](O)[C@H](O)[C@@H]1O
ZINC000049600308; 0.407; CC[C@H](O)CCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000049600309; 0.407; CC[C@@H](O)CCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000035465328; 0.407; COC1=CC=C(C=C1)[C@H](O)[C@@H](C)O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
ZINC000035465308; 0.407; COC1=CC=C(C=C1)[C@@H](O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O)[C@H](C)O
ZINC000035465311; 0.407; COC1=CC=C(C=C1)[C@@H](O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O)[C@@H](C)O
