ZINC000069592648; 0.312; C[C@H](CC[N+](C)=O)[C@H]1CC[C@@H]2[C@@H](O)CCC[C@]12C
ZINC000069592643; 0.312; C[C@H](CC[N+](C)=O)[C@H]1CC[C@H]2[C@@H](O)CCC[C@]12C
ZINC000034397222; 0.267; CCOC(=O)CCO[C@@H](C)[C@H]1CC[C@H]2C(=O)CCC[C@]12C
ZINC001534684228; 0.250; CC1(C)CCC[C@]2(C)[C@@H](C\\C=C(/CO)[C@@H](O)CO)C(=C)CC[C@H]12
ZINC001534684214; 0.250; CC1(C)CCC[C@]2(C)[C@H](C\\C=C(/CO)[C@@H](O)CO)C(=C)CC[C@H]12
ZINC001534684225; 0.250; CC1(C)CCC[C@]2(C)[C@H](C\\C=C(/CO)[C@H](O)CO)C(=C)CC[C@H]12
ZINC000221660045; 0.250; CC1(C)CCC[C@]2(C)[C@@H](C\\C=C(/CO)[C@H](O)CO)C(=C)CC[C@H]12
