ZINC000001696610; 0.472; NC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000002020193; 0.472; NC1=CC=C(C=C1)C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000001723607; 0.459; CNC1=CC=C(C=C1)C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000005140992; 0.459; CNC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000001723606; 0.453; CC(C)NC1=CC=C(C=C1)C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000005421322; 0.453; CC(C)NC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000001707251; 0.443; CN(C=O)C1=CC=C(C=C1)C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000005599772; 0.443; CN(C=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000002406206; 0.438; OC(=O)CC[C@@H](NC(=O)C1=CC=C(Cl)C=C1)C(O)=O
ZINC000002406205; 0.438; OC(=O)CC[C@H](NC(=O)C1=CC=C(Cl)C=C1)C(O)=O
ZINC000003068357; 0.438; OC(=O)CC[C@H](NC(=O)C1=CC=NC=C1)C(O)=O
ZINC000003068358; 0.438; OC(=O)CC[C@@H](NC(=O)C1=CC=NC=C1)C(O)=O
ZINC000001746655; 0.431; OC(=O)CC[C@@H](NC(=O)C1=CC=CC=C1)C(O)=O
ZINC000001624515; 0.431; OC(=O)CC[C@H](NC(=O)C1=CC=CC=C1)C(O)=O
ZINC000002036149; 0.410; OC(=O)CC[C@@H](NC(=O)C1=CC=C(C=C1)[N+]([O-])=O)C(O)=O
ZINC000001758360; 0.410; OC(=O)CC[C@H](NC(=O)C1=CC=C(C=C1)[N+]([O-])=O)C(O)=O
ZINC000008582280; 0.398; NC1=NC(=O)C2=C(NC[C@@H](CCNC3=CC=C(C=C3)C(O)=O)N2)N1
ZINC000008664075; 0.398; NC1=NC(=O)C2=C(NC[C@H](CCNC3=CC=C(C=C3)C(O)=O)N2)N1
ZINC000002333132; 0.388; OC(=O)CC[C@@H](NC(=O)C1=CN=CC(Br)=C1)C(O)=O
ZINC000001533050; 0.388; OC(=O)CC[C@H](NC(=O)C1=CN=CC(Br)=C1)C(O)=O
ZINC000002036153; 0.385; NC(=O)CC[C@@H](NC(=O)C1=CC=C(N)C=C1)C(O)=O
ZINC000001730554; 0.385; NC(=O)CC[C@H](NC(=O)C1=CC=C(N)C=C1)C(O)=O
ZINC000426389517; 0.381; OC(=O)CC[C@H](NC(=O)C1=CC=CC2=C1NCCC2)C(O)=O
ZINC000002151090; 0.380; OC(=O)CC[C@@H](NC(=O)C1=CN=CC(O)=C1)C(O)=O
ZINC000001533048; 0.380; OC(=O)CC[C@H](NC(=O)C1=CN=CC(O)=C1)C(O)=O
ZINC000003874680; 0.372; OC(=O)CC[C@H](NC(=O)C1=CC=CC=C1C(O)=O)C(O)=O
ZINC000001704175; 0.372; OC(=O)CC[C@@H](NC(=O)C1=CC=CC=C1C(O)=O)C(O)=O
ZINC000003239690; 0.367; NC(=O)CC[C@@H](NC(=O)C1=CC=C(Cl)C=C1)C(O)=O
ZINC000003239689; 0.367; NC(=O)CC[C@H](NC(=O)C1=CC=C(Cl)C=C1)C(O)=O
ZINC000037395623; 0.366; OC(=O)CC[C@H](NC(=O)C1=C2C=CC=CC2=NN1)C(O)=O
ZINC000001626855; 0.366; OC(=O)CC[C@@H](NC(=O)C1=NC2=CC=CC=C2N=C1)C(O)=O
ZINC000017014597; 0.366; OC(=O)CC[C@H](NC(=O)C1=NC2=CC=CC=C2N=C1)C(O)=O
ZINC000534576738; 0.366; CC(C)(C)N1C=CC(=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000037395624; 0.366; OC(=O)CC[C@@H](NC(=O)C1=C2C=CC=CC2=NN1)C(O)=O
ZINC000003252604; 0.363; NC(=O)CC[C@H](NC(=O)C1=CC=C(F)C=C1)C(O)=O
ZINC000003252605; 0.363; NC(=O)CC[C@@H](NC(=O)C1=CC=C(F)C=C1)C(O)=O
ZINC000001723137; 0.359; OC(=O)CC[C@@H](NC(=O)C1=C(Cl)C=CC=C1Cl)C(O)=O
ZINC000008628530; 0.359; OC(=O)CC[C@H](NC(=O)C1=C(Cl)C=CC=C1Cl)C(O)=O
ZINC000001708461; 0.359; NC(=O)CC[C@H](NC(=O)C1=CC=CC=C1)C(O)=O
ZINC000013545206; 0.359; NC(=O)CC[C@@H](NC(=O)C1=CC=CC=C1)C(O)=O
ZINC000059902255; 0.358; OC(=O)CC[C@@H](NC(=O)CNC(=O)C1=CC=CC=C1)C(O)=O
ZINC000013541489; 0.358; OC(=O)CC[C@H](NC(=O)CNC(=O)C1=CC=CC=C1)C(O)=O
ZINC000013541614; 0.358; OC(=O)CC[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(O)=O
ZINC000001688343; 0.357; OC(=O)CC[C@@H](NC(=O)C1=CC=CC(=C1)[N+]([O-])=O)C(O)=O
ZINC000008614349; 0.357; OC(=O)CC[C@H](NC(=O)C1=CC=CC(=C1)[N+]([O-])=O)C(O)=O
ZINC000002173017; 0.354; OC(=O)CC[C@H](NC(=O)C1=CC=CC=C1O)C(O)=O
ZINC000002173019; 0.354; OC(=O)CC[C@@H](NC(=O)C1=CC=CC=C1O)C(O)=O
ZINC000037387997; 0.350; OC(=O)CC[C@H](NC(=O)C1=CC=CC=C1F)C(O)=O
ZINC000037387999; 0.350; OC(=O)CC[C@@H](NC(=O)C1=CC=CC=C1F)C(O)=O
ZINC000032628319; 0.350; OC(=O)CC[C@@H](NC(=O)NC1=CC=C(F)C=C1)C(O)=O
ZINC000032628321; 0.350; OC(=O)CC[C@H](NC(=O)NC1=CC=C(F)C=C1)C(O)=O
ZINC000001722680; 0.349; CNC1=C(F)C=C(C=C1F)C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000005605329; 0.349; CNC1=C(F)C=C(C=C1F)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000025108539; 0.349; OC(=O)CC[C@@H](NC(=O)CC1=NNC(=O)C2=CC=CC=C12)C(O)=O
ZINC000009420942; 0.349; OC(=O)CC[C@H](NC(=O)CC1=NNC(=O)C2=CC=CC=C12)C(O)=O
ZINC000002033534; 0.349; COC1=CC(N)=CC=C1C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000001758258; 0.349; COC1=CC(N)=CC=C1C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000002943198; 0.346; CC1=CC=C(O1)C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000002943196; 0.346; CC1=CC=C(O1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000014162570; 0.345; CN1N=C(C(=O)N[C@H](CCC(O)=O)C(O)=O)C2=CC=CC=C2C1=O
ZINC000014162567; 0.345; CN1N=C(C(=O)N[C@@H](CCC(O)=O)C(O)=O)C2=CC=CC=C2C1=O
ZINC000020295947; 0.341; CC1=C(C=CO1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000020295950; 0.341; CC1=C(C=CO1)C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000037591115; 0.341; OC(=O)CC[C@@H](NC(=O)NC1=CC=C(C=C1)C#N)C(O)=O
ZINC000037591114; 0.341; OC(=O)CC[C@H](NC(=O)NC1=CC=C(C=C1)C#N)C(O)=O
ZINC000000189078; 0.341; OC(=O)[C@@H](CCC1=NC2=CC=CC=C2N1)NC(=O)C1=CC=CC=C1
ZINC000000189065; 0.341; OC(=O)[C@H](CCC1=NC2=CC=CC=C2N1)NC(=O)C1=CC=CC=C1
ZINC000002290467; 0.338; OC(=O)CC[C@@H](NC(=S)NC1=CC=CC=C1)C(O)=O
ZINC000002290466; 0.338; OC(=O)CC[C@H](NC(=S)NC1=CC=CC=C1)C(O)=O
ZINC000003155119; 0.337; COC1=NC=CC=C1C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000003155120; 0.337; COC1=NC=CC=C1C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000007987242; 0.333; OC(=O)[C@H](CCC#N)NC(=O)C1=CC=C(Cl)C=C1
ZINC000007987243; 0.333; OC(=O)[C@@H](CCC#N)NC(=O)C1=CC=C(Cl)C=C1
ZINC000002033841; 0.333; CCCN(CCC)C(=O)[C@H](CCC(O)=O)NC(=O)C1=CC=CC=C1
ZINC000002033840; 0.333; CCCN(CCC)C(=O)[C@@H](CCC(O)=O)NC(=O)C1=CC=CC=C1
ZINC000952972251; 0.330; CC1=NC2=C(C)C(C)=CC=C2C(=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000026423709; 0.329; COC(=O)CC[C@H](NC(=O)C1=CC=C(C=C1)C1=CC=CC=C1)C(O)=O
ZINC000012809947; 0.329; OC(=O)CC[C@@H](NC(=O)C1=CC2=C(CCCCCC2)S1)C(O)=O
ZINC000014092955; 0.329; OC(=O)CC[C@@H](NC(=O)C1=CC=CC=C1SC(F)F)C(O)=O
ZINC000012809951; 0.329; OC(=O)CC[C@H](NC(=O)C1=CC2=C(CCCCCC2)S1)C(O)=O
ZINC000008756620; 0.329; OC(=O)CC[C@H](NC(=O)C1=CC=CC=C1SC(F)F)C(O)=O
ZINC000001708460; 0.329; COC(=O)CC[C@@H](NC(=O)C1=CC=CC=C1)C(O)=O
ZINC000005605603; 0.329; COC(=O)CC[C@H](NC(=O)C1=CC=CC=C1)C(O)=O
ZINC001506403792; 0.329; CC1=C(OCCO1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000002617585; 0.329; CSCC[C@@H](NC(=O)C1=CC=C(Br)C=C1)C(O)=O
ZINC000002617584; 0.329; CSCC[C@H](NC(=O)C1=CC=C(Br)C=C1)C(O)=O
ZINC000001568164; 0.329; NCCCC[C@@H](NC(=O)C1=CC=CC=C1)C(O)=O
ZINC000002390909; 0.329; NCCCC[C@H](NC(=O)C1=CC=CC=C1)C(O)=O
ZINC000005944698; 0.329; OC[C@@H](NC(=O)C1=CC=C(C=C1)C(=O)N[C@H](CO)C(O)=O)C(O)=O
ZINC000005944694; 0.329; OC[C@@H](NC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CO)C(O)=O)C(O)=O
ZINC000005944693; 0.329; OC[C@H](NC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CO)C(O)=O)C(O)=O
ZINC000067896063; 0.326; OC(=O)[C@H](CN1C=C(Cl)C(=O)NC1=O)NC(=O)C1=CC=CC=C1
ZINC000534581025; 0.326; CC1=CC2=CC(=NN2C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000036617515; 0.326; CN1N=CC(C(O)=O)=C1C(=O)N[C@@H](CCC(O)=O)C(O)=O
ZINC000036617516; 0.326; CN1N=CC(C(O)=O)=C1C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000004133036; 0.325; CCCC[C@@H](NC(=O)C1=CC=C(Cl)C=C1)C(O)=O
ZINC000033435182; 0.325; CC(C)C[C@@H](NC(=O)C1=CC=C(N)C=C1)C(O)=O
ZINC000004133034; 0.325; CCCC[C@H](NC(=O)C1=CC=C(Cl)C=C1)C(O)=O
ZINC000008762439; 0.322; CSC1=CC=C(Cl)C(=C1)C(=O)N[C@H](CCC(O)=O)C(O)=O
ZINC000008756623; 0.322; OC(=O)CC[C@H](NC(=O)C1=CC=C(O1)C1=CC=C(F)C=C1)C(O)=O
