ZINC000040762833; 0.521; NC(=O)C1=CC=C[N+](=C1)[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ZINC000004228273; 0.521; NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ZINC000004513857; 0.505; NC1=C2N=CN([C@H]3O[C@@H](CO)[C@@H](O)[C@H]3OP(O)(O)=O)C2=NC=N1
ZINC000002036187; 0.505; NC1=C2N=CN([C@@H]3O[C@H](CO)[C@H](O)[C@H]3OP(O)(O)=O)C2=NC=N1
ZINC000003861741; 0.505; NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3OP(O)(O)=O)C2=NC=N1
ZINC000044960119; 0.505; NC1=C2N=CN([C@@H]3O[C@H](CO)[C@H](O)[C@@H]3OP(O)(O)=O)C2=NC=N1
ZINC000013424932; 0.505; NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3OP(O)(O)=O)C2=NC=N1
ZINC000004513860; 0.505; NC1=C2N=CN([C@@H]3O[C@@H](CO)[C@@H](O)[C@H]3OP(O)(O)=O)C2=NC=N1
ZINC000004513863; 0.505; NC1=C2N=CN([C@H]3O[C@@H](CO)[C@@H](O)[C@@H]3OP(O)(O)=O)C2=NC=N1
ZINC000004513866; 0.505; NC1=C2N=CN([C@@H]3O[C@@H](CO)[C@@H](O)[C@@H]3OP(O)(O)=O)C2=NC=N1
ZINC000013424933; 0.505; NC1=C2N=CN([C@H]3O[C@H](CO)[C@@H](O)[C@@H]3OP(O)(O)=O)C2=NC=N1
ZINC000003830180; 0.490; NC1=C2N=CN([C@H]3O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000001571045; 0.490; NC1=C2N=CN([C@@H]3O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000001842158; 0.490; NC1=C2N=CN([C@H]3O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]3O)C2=NC=N1
ZINC000002126310; 0.490; NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]3O)C2=NC=N1
ZINC000003201891; 0.490; NC1=C2N=CN([C@@H]3O[C@@H](COP(O)(O)=O)[C@@H](O)[C@@H]3O)C2=NC=N1
ZINC000003201893; 0.490; NC1=C2N=CN([C@H]3O[C@@H](COP(O)(O)=O)[C@@H](O)[C@@H]3O)C2=NC=N1
ZINC000002046931; 0.490; NC1=C2N=CN([C@@H]3O[C@@H](COP(O)(O)=O)[C@H](O)[C@@H]3O)C2=NC=N1
ZINC000003860156; 0.490; NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000004806442; 0.490; NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@H](O)[C@H]3O)C2=NC=N1
ZINC000008613167; 0.490; NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]3O)C2=NC=N1
ZINC000001532515; 0.490; NC1=C2N=CN([C@H]3O[C@@H](COP(O)(O)=O)[C@H](O)[C@@H]3O)C2=NC=N1
ZINC000003977897; 0.490; NC1=C2N=CN([C@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000013518964; 0.490; NC1=C2N=CN([C@@H]3O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]3O)C2=NC=N1
ZINC000012958381; 0.460; NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]3O)C2=NC=N1
ZINC000001631259; 0.460; NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
ZINC000013546985; 0.460; NC1=C2N=CN([C@@H]3O[C@H](CO)[C@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
ZINC000001529188; 0.460; NC1=C2N=CN([C@H]3O[C@@H](CO)[C@H](OP(O)(O)=O)[C@@H]3O)C2=NC=N1
ZINC000079090744; 0.460; NC1=C2N=CN([C@@H]3O[C@H](CO)[C@H](OP(O)(O)=O)[C@@H]3O)C2=NC=N1
ZINC000004096224; 0.436; NC1=C2N=CN([C@@H]3O[C@H](COP(N)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000204538551; 0.430; NC1=C2N=CN([C@@H]3O[C@H](COP(N)(N)=O)[C@@H](O)[C@H]3O)C2=NC=N1
