ZINC000003871091; 0.636; NC(N)=NC(=O)C1=NC(Cl)=C(N=C1N)N1CCCCCC1
ZINC000003871093; 0.609; CN(C1=NC(N)=C(N=C1Cl)C(=O)N=C(N)N)C(C)(C)C
ZINC000003871092; 0.571; CCN(C(C)C)C1=NC(N)=C(N=C1Cl)C(=O)N=C(N)N
ZINC000004467875; 0.571; CC(C)CN(C)C1=NC(N)=C(N=C1Cl)C(=O)N=C(N)N
ZINC000001566448; 0.417; NC1=NC(N)=C(N=C1Cl)C(=O)SCC1=CC=CC=C1
ZINC000225748538; 0.409; NC1=NC(Br)=C(N=C1Cl)C(O)=O
ZINC000102267056; 0.408; CSC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
ZINC000013548421; 0.389; NC1=NC(N)=C(Cl)N=C1C(=O)NC(=N)NCC1=CC=CC=C1
ZINC000225748571; 0.383; COC(=O)C1=NC(Cl)=C(N)N=C1Br
ZINC000013110453; 0.377; NC1=NC(N)=C(Cl)N=C1C(=O)NC(=N)NC1=CC=CC=C1
ZINC000006494185; 0.375; CC1=NC=C(Br)C(=N1)C(=O)N=C(N)N
ZINC000001232016; 0.333; NC(=O)C1=NC(Cl)=C(Cl)C(Cl)=C1Cl
ZINC000003871090; 0.333; CN(C)C1=NC(N)=C(N=C1Cl)C(=O)NC(N)=N
ZINC000000165306; 0.315; COC(=O)C1=NC(Cl)=C(N=C1N)N1CCCCC1
ZINC000071772359; 0.304; COC(=O)C1=NC(Cl)=C(NC2=CC=CC=C2)N=C1N
ZINC000000165308; 0.304; COC(=O)C1=NC(Cl)=C(N=C1N)N1CCSCC1
ZINC000000165305; 0.304; COC(=O)C1=NC(Cl)=C(N=C1N)N1CCOCC1
ZINC000000165303; 0.298; COC(=O)C1=NC(Cl)=C(NCC2CC2)N=C1N
ZINC000019791603; 0.286; COC(=O)C1=NC(Cl)=C(Cl)C(N)=C1Cl
ZINC000007992851; 0.283; CN(C)C1=NC(N)=C(N=C1Cl)C(=O)NC1=CC=CN=C1
ZINC000095743109; 0.279; NC1=NC=C(I)N=C1Cl
ZINC000033374224; 0.275; CN(C)C(N)=NC(=O)C1=CC(Cl)=NC(Cl)=C1
ZINC000001237659; 0.273; OC(=O)C1=NC(Cl)=C(Cl)C(Cl)=C1Cl
ZINC000001068214; 0.273; NC(=O)C1=C(Cl)N=C(Cl)C(Cl)=C1Cl
ZINC000019228093; 0.269; CCOC(=O)C1=NC(Cl)=C(Cl)C(N)=C1Cl
ZINC000000484781; 0.269; CCOC(=O)C1=NC(Cl)=C(N)C(Cl)=C1Cl
ZINC000003951217; 0.269; CC1=CC(=C(C=C1C(=O)N=C(N)N)S(C)(=O)=O)S(C)(=O)=O
ZINC000019877731; 0.269; CC(C)OC(=O)C1=NC(Cl)=C(Cl)C(N)=C1Cl
ZINC000040448350; 0.268; NC1=NC(Cl)=C(Br)N=C1Br
ZINC000001756644; 0.267; NC1=NC(Br)=C(Br)N=C1C(O)=O
ZINC000144953898; 0.266; CC[C@H]1CN(CCN1)C1=NC(N)=C(N=C1Cl)C(=O)OC
ZINC000164911693; 0.265; C[S@](=O)C1=NC(N)=C(Br)C(Cl)=N1
ZINC000164911569; 0.265; C[S@@](=O)C1=NC(N)=C(Br)C(Cl)=N1
ZINC000019228096; 0.264; CCCOC(=O)C1=NC(Cl)=C(Cl)C(N)=C1Cl
ZINC000005567138; 0.263; COC(=O)\\C=C(\\SC1=NC(Cl)=C(Cl)N=C1N)C(=O)OC
ZINC000017142080; 0.263; COC(=O)\\C=C(/SC1=NC(Cl)=C(Cl)N=C1N)C(=O)OC
ZINC000001237658; 0.260; NNC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl
ZINC000014704461; 0.259; NC1=C(Cl)C(=NC(Cl)=C1Cl)C(=O)OCC#N
ZINC000242574928; 0.259; CN(C)CCNC(=O)C1=CN=CC(=C1)C(=O)N=C(N)N
ZINC000071256976; 0.256; NC1=NC(Cl)=C(Br)C=C1Br
ZINC000095828708; 0.256; NC1=NC=NC(Cl)=C1I
ZINC000000039551; 0.255; COC(=O)C1=NC(Cl)=C(Cl)C(Cl)=C1Cl
ZINC000082048809; 0.255; CSC1=NC(N)=C(Br)C(Cl)=N1
ZINC000019300974; 0.255; CC(C)COC(=O)C1=NC(Cl)=C(Cl)C(N)=C1Cl
ZINC000018125750; 0.250; NC(=O)C1=C(N)N=C(N1)N=NC1=CC=C(Cl)C=C1
ZINC000104203391; 0.250; NC(=O)C1=C(N)N=C(N1)N=NC1=CC=C(Cl)C=C1
ZINC000225748466; 0.250; COC(=O)C1=NC(Cl)=C(Cl)N=C1Br
ZINC000043771820; 0.250; NC1=NC(N)=C(N=C1Cl)[C@H]1C[C@H](O)[C@@H](CO)O1
ZINC000066351878; 0.250; NC(=O)C1=NC(I)=CN=C1N
