ZINC000005291792; 0.685; CC(=O)OC[C@H]1O[C@H]([C@@H](O)[C@H]1O)N1C=NC(=N1)C(N)=O
ZINC000005291810; 0.685; CC(=O)OC[C@@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=NC(=N1)C(N)=O
ZINC000005291808; 0.685; CC(=O)OC[C@@H]1O[C@H]([C@@H](O)[C@H]1O)N1C=NC(=N1)C(N)=O
ZINC000005291797; 0.685; CC(=O)OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=NC(=N1)C(N)=O
ZINC000016321740; 0.685; CC(=O)OC[C@@H]1O[C@@H]([C@@H](O)[C@@H]1O)N1C=NC(=N1)C(N)=O
ZINC000222034180; 0.685; CC(=O)OC[C@@H]1O[C@@H]([C@H](O)[C@@H]1O)N1C=NC(=N1)C(N)=O
ZINC000222034121; 0.685; CC(=O)OC[C@@H]1O[C@@H]([C@H](O)[C@H]1O)N1C=NC(=N1)C(N)=O
ZINC000147620802; 0.685; CC(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC(=N1)C(N)=O
ZINC000222034240; 0.685; CC(=O)OC[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)N1C=NC(=N1)C(N)=O
ZINC000005372450; 0.673; NC(=O)C1=NN(C=N1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
ZINC000005372445; 0.673; NC(=O)C1=NN(C=N1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ZINC000001562441; 0.673; NC(=O)C1=NN(C=N1)[C@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
ZINC000005372441; 0.673; NC(=O)C1=NN(C=N1)[C@H]1O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ZINC000101922290; 0.649; CC(C)(C)C(=O)OC[C@@H]1O[C@@H]([C@H](O)[C@@H]1O)N1C=NC(=N1)C(N)=O
ZINC000101922285; 0.649; CC(C)(C)C(=O)OC[C@@H]1O[C@@H]([C@H](O)[C@H]1O)N1C=NC(=N1)C(N)=O
ZINC000013153135; 0.649; CC(C)(C)C(=O)OC[C@@H]1O[C@@H]([C@@H](O)[C@@H]1O)N1C=NC(=N1)C(N)=O
ZINC000012381340; 0.649; CC(C)(C)C(=O)OC[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)N1C=NC(=N1)C(N)=O
ZINC000034175382; 0.648; CC1(C)O[C@@H]2[C@H](CO)O[C@@H]([C@@H]2O1)N1C=NC(=N1)C(N)=O
ZINC000253470820; 0.648; CC1(C)O[C@@H]2[C@H](CO)O[C@H]([C@H]2O1)N1C=NC(=N1)C(N)=O
ZINC000253470822; 0.648; CC1(C)O[C@@H]2[C@H](CO)O[C@H]([C@@H]2O1)N1C=NC(=N1)C(N)=O
ZINC000253470823; 0.648; CC1(C)O[C@@H]2[C@H](CO)O[C@@H]([C@H]2O1)N1C=NC(=N1)C(N)=O
ZINC000004772260; 0.604; NC(=O)C1=C(N(C=N1)[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O)C(N)=O
ZINC000004772259; 0.604; NC(=O)C1=C(N(C=N1)[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O)C(N)=O
ZINC000004772261; 0.604; NC(=O)C1=C(N(C=N1)[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O)C(N)=O
ZINC000004772258; 0.604; NC(=O)C1=C(N(C=N1)[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O)C(N)=O
ZINC000004878189; 0.593; NC(=O)C1=C(N)N=CN1[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000013542583; 0.593; NC(=O)C1=C(N)N=CN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ZINC000198950922; 0.593; NC(=O)C1=C(N)N(C=N1)[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O
ZINC000003798074; 0.593; NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ZINC000044184441; 0.593; NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O
ZINC000011616871; 0.593; NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC000004877292; 0.593; NC(=O)C1=C(N)N(C=N1)[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC000004877289; 0.593; NC(=O)C1=C(N)N(C=N1)[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000013547762; 0.593; NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O
ZINC000004877291; 0.593; NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000011616872; 0.593; NC(=O)C1=C(N)N(C=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC000004877294; 0.593; NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC000004878191; 0.593; NC(=O)C1=C(N)N=CN1[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000004878200; 0.593; NC(=O)C1=C(N)N=CN1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC000004878196; 0.593; NC(=O)C1=C(N)N=CN1[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC000004964002; 0.556; CS(=O)(=O)C1=NN(C=N1)[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000004964006; 0.556; CS(=O)(=O)C1=NN(C=N1)[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC000004964004; 0.556; CS(=O)(=O)C1=NN(C=N1)[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000004964005; 0.556; CS(=O)(=O)C1=NN(C=N1)[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC000005462217; 0.552; NC(=O)C1=C2N=CN([C@@H]3O[C@@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000005462220; 0.552; NC(=O)C1=C2N=CN([C@H]3O[C@@H](CO)[C@@H](O)[C@@H]3O)C2=NC=N1
ZINC000005462223; 0.552; NC(=O)C1=C2N=CN([C@@H]3O[C@@H](CO)[C@@H](O)[C@@H]3O)C2=NC=N1
ZINC000005462216; 0.552; NC(=O)C1=C2N=CN([C@H]3O[C@@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
ZINC000005539055; 0.533; NC(=O)C1=C(NC=O)N(C=N1)[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000005539063; 0.533; NC(=O)C1=C(NC=O)N(C=N1)[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC000004877531; 0.533; NC(=O)C1=C(N=CN1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O)[N+]([O-])=O
ZINC000005539052; 0.533; NC(=O)C1=C(NC=O)N(C=N1)[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC000004877530; 0.533; NC(=O)C1=C(N=CN1[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O)[N+]([O-])=O
