NVIC_id,SMILES,BBB,OATP1B1_inhibitor,OATP1B3_inhibitor,OATP2B1_inhibitor,OCT1_inhibitor,OCT2_inhibitor,BCRP_inhibitor,BSEP_inhibitor,MATE1_inhibitor,Pgp_inhibitor,Pgp_substrate,PPB,VDss
NVIC0001,NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,0.6725029349327087,0.7436841726303101,0.7200939655303955,0.5469104647636414,0.6967521905899048,0.2531515955924988,0.9308644533157349,0.9530937671661377,0.2482789307832718,0.9155994057655334,0.5400078892707825,1.001908302307129,1.255877495
NVIC0002,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,0.8452922701835632,0.8650611639022827,0.8253405690193176,0.5051711797714233,0.7424057126045227,0.3956555426120758,0.8354871869087219,0.9270817041397095,0.22546234726905823,0.9515981674194336,0.6038117408752441,0.9828624725341797,1.255877495
NVIC0003,C=C(C)[C@@H]1Cc2c(ccc3c2NC(=O)[C@]32C[C@@]34NC(=O)[C@]5(CCCN5C3=O)C[C@@H]4C2(C)C)O1,0.6983399987220764,0.6658686995506287,0.796412467956543,0.22831083834171295,0.44358596205711365,0.2043265700340271,0.6487956047058105,0.9374569058418274,0.17147685587406158,0.7744789123535156,0.8004828691482544,0.8279590606689453,0.4979502857
NVIC0004,CC(=O)C12c3ccccc3C(c3ccccc31)[C@H]1C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@@H]12,0.7225732207298279,0.4155257046222687,0.5041826367378235,0.4622234106063843,0.4004817008972168,0.16507107019424438,0.5831031203269958,0.9810312390327454,0.16334697604179382,0.9552740454673767,0.23030312359333038,0.9957926273345947,0.4259035885
NVIC0005,O=C(CSc1nnnn1-c1cccc2ccccc12)N1CCCc2ccccc21,0.9147087335586548,0.8655328154563904,0.8229771852493286,0.2418479323387146,0.502065122127533,0.32897284626960754,0.17497417330741882,0.9781402349472046,0.29938429594039917,0.9447956085205078,0.24613235890865326,0.9553861618041992,-0.6987046599
NVIC0006,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCCCCCN3C(=O)C=CC3=O)CC[C@@H]12,0.6398003697395325,0.6777767539024353,0.7019551396369934,0.4364098906517029,0.6287500262260437,0.30715426802635193,0.8493428230285645,0.9594998955726624,0.227915957570076,0.9327621459960938,0.810310959815979,0.9635287523269653,0.778375566
NVIC0007,CC(C)C[C@@H]1N[C@@H]2N(C1=O)c1ccccc1[C@]21C[C@@H]2C(=O)N[C@](C)(O1)c1nc3ccccc3c(=O)n12,0.13630728423595428,0.726288378238678,0.7295909523963928,0.40784022212028503,0.23569554090499878,0.11485733091831207,0.8321104049682617,0.71913743019104,0.15872569382190704,0.5000740885734558,0.8492537140846252,0.8798671960830688,-0.1815345883
NVIC0008,COc1ccccc1-c1cc2ccc(Cl)cc2[nH]c1=O,0.9867050051689148,0.9806497097015381,0.9838128089904785,0.11850185692310333,0.6367776989936829,0.2939651310443878,0.3551611006259918,0.84955894947052,0.11953136324882507,0.3080962300300598,0.11297035962343216,0.9837822914123535,0.3316099346
NVIC0009,N/C(=N\Cc1ccccc1)NC(=O)c1nc(Cl)c(N)nc1N,0.882655680179596,0.9790053367614746,0.9896395206451416,0.05269704386591911,0.31113559007644653,0.20524431765079498,0.09400132298469543,0.23000797629356384,0.061882153153419495,0.05447453260421753,0.3550092875957489,0.5040848255157471,0.4953387082
NVIC0010,CC(C)[C@@]1(O)[C@@H](OC(=O)c2ccc[nH]2)[C@@]2(O)[C@@]3(C)C[C@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@]41C,0.44355329871177673,0.9576806426048279,0.9765242338180542,0.1132768914103508,0.14703251421451569,0.12115402519702911,0.06764857470989227,0.47553959488868713,0.07995790988206863,0.07258833199739456,0.8889129757881165,0.4977022707462311,-0.1035374552
NVIC0011,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,0.8525116443634033,0.9441787600517273,0.9570809602737427,0.18664009869098663,0.4990411400794983,0.19946926832199097,0.47387054562568665,0.8144604563713074,0.19732056558132172,0.7127944231033325,0.19486990571022034,0.9322341680526733,0.2503167987
NVIC0012,OC[C@H]1O[C@@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.16993854939937592,0.9046414494514465,0.9405664205551147,0.19222348928451538,0.04308884218335152,0.044513992965221405,0.029756858944892883,0.029987921938300133,0.04854303598403931,0.03141142427921295,0.15209805965423584,-0.06108009815,-0.6862716675
NVIC0013,COc1ccc2sc(NC(c3ccc(OC(F)F)cc3)c3ccc4cccnc4c3O)nc2c1,0.6830767393112183,0.8012277483940125,0.744961142539978,0.4542796313762665,0.5693154335021973,0.15084347128868103,0.5817269682884216,0.9678660035133362,0.299153208732605,0.8997321724891663,0.1964666098356247,1.0006135702133179,0.1263350695
