NVIC_id,SMILES,CYP1A2_inhibitor,CYP3A4_inhibitor,CYP2B6_inhibitor,CYP2C9_inhibitor,CYP2C19_inhibitor,CYP2D6_inhibitor,CYP1A2_substrate,CYP3A4_substrate,CYP2B6_substrate,CYP2C9_substrate,CYP2C19_substrate,CYP2D6_substrate,HLM,RLM,UGT_substrate
NVIC0001,NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,0.4851950407028198,0.09634034335613251,0.6772230863571167,0.2162495255470276,0.19727331399917603,0.1296571642,0.886482834815979,0.9576396346092224,0.6173096299171448,0.740918755531311,0.8616443872451782,0.7093827724456787,0.035385336726903915,0.07770185172557831,0.5218254923820496
NVIC0002,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,0.05536932125687599,0.03525472804903984,0.6089912056922913,0.04590478166937828,0.04819156229496002,0.1802241355,0.5955644249916077,0.8787459135055542,0.8178033232688904,0.3997204303741455,0.6646571159362793,0.6659222841262817,0.35087427496910095,0.4002760052680969,0.11647607386112213
NVIC0003,C=C(C)[C@@H]1Cc2c(ccc3c2NC(=O)[C@]32C[C@@]34NC(=O)[C@]5(CCCN5C3=O)C[C@@H]4C2(C)C)O1,0.13628649711608887,0.14400504529476166,0.35856008529663086,0.09597115218639374,0.18296706676483154,0.08011078835,0.4249209761619568,0.7697281241416931,0.31158989667892456,0.21189594268798828,0.3474465608596802,0.15988387167453766,0.20308749377727509,0.35799548029899597,0.279344767332077
NVIC0004,CC(=O)C12c3ccccc3C(c3ccccc31)[C@H]1C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@@H]12,0.052329644560813904,0.21730537712574005,0.5158799290657043,0.6961448192596436,0.43564745783805847,0.0403900817,0.700187087059021,0.963664174079895,0.609407365322113,0.7420437335968018,0.8922168612480164,0.2959882915019989,0.25523117184638977,0.3698689937591553,0.23241952061653137
NVIC0005,O=C(CSc1nnnn1-c1cccc2ccccc12)N1CCCc2ccccc21,0.749792218208313,0.9669960141181946,0.5735076069831848,0.9662908911705017,0.985811710357666,0.4244452119,0.6972662806510925,0.8493390679359436,0.6194915175437927,0.6738193035125732,0.7883233428001404,0.3631857931613922,0.9365023970603943,0.9640223383903503,0.09127303957939148
NVIC0006,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCCCCCN3C(=O)C=CC3=O)CC[C@@H]12,0.08005084097385406,0.08999080210924149,0.5017587542533875,0.058410774916410446,0.04426564276218414,0.1813496947,0.6437523365020752,0.9059284925460815,0.3881429135799408,0.3741379380226135,0.6371684670448303,0.5824511051177979,0.0855584517121315,0.22408324480056763,0.5682615041732788
NVIC0007,CC(C)C[C@@H]1N[C@@H]2N(C1=O)c1ccccc1[C@]21C[C@@H]2C(=O)N[C@](C)(O1)c1nc3ccccc3c(=O)n12,0.06626443564891815,0.007883342914283276,0.2376481294631958,0.04345811530947685,0.02703206054866314,0.01600189134,0.28387346863746643,0.5518697500228882,0.10865743458271027,0.08937916904687881,0.18561099469661713,0.07518049329519272,0.08538652211427689,0.1223967894911766,0.462461918592453
NVIC0008,COc1ccccc1-c1cc2ccc(Cl)cc2[nH]c1=O,0.9860767126083374,0.39064741134643555,0.5343321561813354,0.5608309507369995,0.8465601205825806,0.1799244285,0.8699681758880615,0.6419798135757446,0.6597965359687805,0.468864768743515,0.7485011219978333,0.32028788328170776,0.30001699924468994,0.6530760526657104,0.2699107527732849
NVIC0009,N/C(=N\Cc1ccccc1)NC(=O)c1nc(Cl)c(N)nc1N,0.30945515632629395,0.029915213584899902,0.15299473702907562,0.059768229722976685,0.10989908874034882,0.1254939288,0.3562299311161041,0.224177286028862,0.3071373701095581,0.08023747056722641,0.33833375573158264,0.1526363641023636,0.09650351852178574,0.2381492406129837,0.8124536871910095
NVIC0010,CC(C)[C@@]1(O)[C@@H](OC(=O)c2ccc[nH]2)[C@@]2(O)[C@@]3(C)C[C@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@]41C,0.01226121187210083,0.02491888403892517,0.1316578984260559,0.015076005831360817,0.032932259142398834,0.04592307284,0.1844235509634018,0.3805798292160034,0.14568336308002472,0.07357235997915268,0.14731788635253906,0.1281237006187439,0.05979281663894653,0.07210245728492737,0.6337705254554749
NVIC0011,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,0.9739531874656677,0.502550482749939,0.5614707469940186,0.7007699608802795,0.8448871970176697,0.2584557533,0.5523537397384644,0.34609711170196533,0.49939587712287903,0.3053502142429352,0.3141687214374542,0.2617173194885254,0.6306641101837158,0.8637407422065735,0.4707871675491333
NVIC0012,OC[C@H]1O[C@@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.0026471347082406282,0.005912643391638994,0.06866700947284698,0.010985144414007664,0.019572846591472626,0.008347754367,0.009994769468903542,0.029297344386577606,0.034141529351472855,0.02486378140747547,0.011665433645248413,0.01488469447940588,0.06635187566280365,0.07042346149682999,0.7617163062095642
