NVIC_id,SMILES,Neurotoxicity,DILI,hERG_1uM,hERG_10uM,hERG_30uM,hERG_1_10uM,hERG_10_30uM,Respiratory_toxicity,Nephrotoxicity,Eye_corrosion,Eye_irritation,Skin_corrosion,Skin_irritation,Skin_sensitisation,ADT,Ames,Mouse_carcinogenicity_c,Mouse_carcinogenicity,Rat_carcinogenicity_c,Rat_carcinogenicity,Rodents_carcinogenicity,Micronucleus,Reproductive_toxicity,Mitochondrial_toxicity,Hemolytic_toxicity,Repeated_dose_toxicity,AOT_c,AOT,FDAMDD_c,FDAMDD,AR,ER,AR_LBD,ER_LBD,Aromatase,AhR,ARE,ATAD5,HSE,p53,PPAR,MMP,TR,GR,subcapitata_toxicity,Crustaceans_toxicity,magna_toxicity,Fish_toxicity,Fathead_minnow_toxicity,Bluegill_sunfish_toxicity,Rainbow_trout_toxicity,Sheepshead_minnow_toxicity,pyriformis_toxicity_c,pyriformis_toxicity,Honey_bee_toxicity,Colinus_virginanus_toxicity,Anas_platyrhynchos_toxicity,BCF_c,BCF,Biodegradability,Photoinduced_toxicity,Phototoxicity_Photoirritation,Photoallergy
NVIC0084,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,-2.315185547,0.5734726190567017,0.7700862884521484,0.983658492565155,0.9967238306999207,0.970775306224823,0.9975374937057495,0.8363454937934875,0.25557345151901245,0.024621129035949707,0.10555162280797958,0.26191750168800354,0.4747200906276703,0.4233419597148895,0.7470338940620422,0.2095249444246292,0.3414062261581421,2.9243316650390625,0.3522211015224457,2.4975838661193848,0.34964850544929504,0.4908403158187866,0.9270132780075073,0.37563151121139526,0.24193471670150757,0.8551281690597534,0.7834994792938232,-3.16285181,0.8635290861129761,2.334811210632324,0.37225663661956787,0.7885756492614746,0.4354051649570465,0.7437461614608765,0.3778556287288666,0.14548292756080627,0.7112805843353271,0.17349322140216827,0.3894614577293396,0.5047345757484436,0.22044245898723602,0.8374009728431702,0.7104718685150146,0.6905760169029236,0.9136502146720886,0.9606783986091614,0.9626094698905945,0.8823782205581665,0.8554505705833435,0.8447388410568237,0.8395810723304749,0.8680887222290039,0.9887841939926147,2.2567598819732666,0.43370911478996277,0.1263929158449173,0.13015861809253693,0.29158544540405273,2.072359085083008,0.07091499119997025,0.5538517832756042,0.5606617331504822,0.451370507478714
NVIC0085,C#Cc1c(C(N)=O)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-2.816392183,0.7886423468589783,0.06104934588074684,0.09335775673389435,0.2190508246421814,0.03809598460793495,0.09121472388505936,0.7257489562034607,0.8220598101615906,0.12596532702445984,0.23135332763195038,0.18262070417404175,0.4085114896297455,0.20817795395851135,0.8684807419776917,0.7760441899299622,0.5632315278053284,2.114654064178467,0.662713348865509,3.2810914516448975,0.7168897390365601,0.8930956125259399,0.8197135925292969,0.18566030263900757,0.36565664410591125,0.6275604367256165,0.7160467505455017,-1.737336278,0.21734586358070374,1.7850337028503418,0.15737125277519226,0.04566499963402748,0.09982287138700485,0.03566403314471245,0.11596657335758209,0.04465970769524574,0.31455478072166443,0.03591516986489296,0.032952211797237396,0.2560707926750183,0.04390706494450569,0.0799785703420639,0.06631553173065186,0.16016355156898499,0.42452624440193176,0.3196255564689636,0.3134554922580719,0.432628870010376,0.2568017244338989,0.2867392599582672,0.30458512902259827,0.23066101968288422,0.23250712454319,-0.09404346347,0.5714254379272461,0.4134504199028015,0.37671002745628357,0.02753644995391369,0.5253779888153076,0.308257520198822,0.2292180359363556,0.4703874886035919,0.18169206380844116
NVIC0086,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,-2.776190996,0.711039125919342,0.07811673730611801,0.19255775213241577,0.4552449882030487,0.08346863836050034,0.25063735246658325,0.7099206447601318,0.7945803999900818,0.15302734076976776,0.22842247784137726,0.2226608395576477,0.44701939821243286,0.25470006465911865,0.8995997309684753,0.6452696919441223,0.511066198348999,2.841552257537842,0.6326374411582947,3.006344795227051,0.6756327748298645,0.8510424494743347,0.8983434438705444,0.20198000967502594,0.5938583612442017,0.6782536506652832,0.8836299180984497,-1.127591729,0.4397188425064087,2.328782081604004,0.19530044496059418,0.053821638226509094,0.08549538999795914,0.04185224696993828,0.12647977471351624,0.020840389654040337,0.2507641315460205,0.04738382250070572,0.05936313793063164,0.2909367084503174,0.09171073883771896,0.058042529970407486,0.079030841588974,0.1456705629825592,0.4054756760597229,0.48219025135040283,0.4499470293521881,0.6486637592315674,0.38921645283699036,0.48125094175338745,0.4588615596294403,0.27995193004608154,0.41331905126571655,0.6041716933250427,0.658997118473053,0.438667356967926,0.45913201570510864,0.02673184499144554,0.20789068937301636,0.4187963902950287,0.2358969748020172,0.38225558400154114,0.1970733404159546
NVIC0087,CCCCCCCCc1[nH]c2cccc3c2c1C[C@@H](CO)NC(=O)[C@H](C(C)C)N3C,-2.625591278,0.4814273715019226,0.24974937736988068,0.6762492656707764,0.8935806155204773,0.4625236392021179,0.8419754505157471,0.5502163767814636,0.3495027422904968,0.011217962950468063,0.0711422711610794,0.08626982569694519,0.14234958589076996,0.17146578431129456,0.8905760049819946,0.32975301146507263,0.3822364807128906,1.4989657402038574,0.3294703960418701,3.1735072135925293,0.4167337119579315,0.641389787197113,0.7299535274505615,0.7602682113647461,0.3505261540412903,0.8795987367630005,0.9740948677062988,-2.036133289,0.8694008588790894,3.7946372032165527,0.19490168988704681,0.09210369735956192,0.16066987812519073,0.35402917861938477,0.307827889919281,0.2614472210407257,0.5853956341743469,0.27248072624206543,0.14523792266845703,0.16259457170963287,0.20924782752990723,0.6224128007888794,0.3542383015155792,0.26718178391456604,0.6199049353599548,0.9100140929222107,0.8905457854270935,0.8585205674171448,0.7495553493499756,0.8804737329483032,0.8683378100395203,0.833029568195343,0.9783276915550232,2.00111985206604,0.6630629301071167,0.2657506465911865,0.23686344921588898,0.0885302871465683,1.1841154098510742,0.09348230063915253,0.5731212496757507,0.5156915187835693,0.4369673728942871
NVIC0088,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,-2.929147243,0.5954703688621521,0.06289437413215637,0.15727002918720245,0.5210440158843994,0.050811972469091415,0.2918546199798584,0.7865188121795654,0.38615891337394714,0.003126035677269101,0.01867152750492096,0.03942228481173515,0.2794032692909241,0.2020816206932068,0.7596223950386047,0.42788195610046387,0.37755128741264343,0.2758190929889679,0.4501239061355591,0.9719062447547913,0.4609859883785248,0.6553816199302673,0.8389164805412292,0.49366259574890137,0.33736521005630493,0.7181747555732727,0.9072412252426147,-2.778981686,0.7246993184089661,2.301410675048828,0.7686054110527039,0.41524916887283325,0.697752058506012,0.5940834283828735,0.5885164737701416,0.10735009610652924,0.7766416072845459,0.30433472990989685,0.2749977707862854,0.34324419498443604,0.5558122992515564,0.48218849301338196,0.6107969880104065,0.7963177561759949,0.6575995683670044,0.787821888923645,0.7785012722015381,0.929785430431366,0.8337509632110596,0.876842737197876,0.8631731271743774,0.7467479705810547,0.9925912618637085,1.255333662033081,0.20486818253993988,0.052789658308029175,0.0365498811006546,0.04784771054983139,1.0302045345306396,0.12252814322710037,0.31740736961364746,0.2393980473279953,0.22198891639709473
NVIC0089,COc1ccc(P(=S)(S)N2CCOCC2)cc1,-3.007357359,0.6663662791252136,0.002581994282081723,0.04719874635338783,0.2773934006690979,0.0013214772334322333,0.08949539065361023,0.5518168807029724,0.6542909145355225,0.34362685680389404,0.896333634853363,0.27883994579315186,0.5283958315849304,0.5550339221954346,0.9033502340316772,0.7038826942443848,0.5340003371238708,0.7795730233192444,0.5239280462265015,0.8306217193603516,0.5148050785064697,0.7662931680679321,0.4924527704715729,0.8419655561447144,0.06150268390774727,0.831164538860321,0.9823218584060669,-2.733567238,0.1532619744539261,1.10532546043396,0.06230153143405914,0.011746328324079514,0.06570597738027573,0.07292787730693817,0.1957593411207199,0.2663363218307495,0.3567263185977936,0.1830461025238037,0.06935933232307434,0.07856134325265884,0.0508347749710083,0.10955008119344711,0.04457743465900421,0.10025083273649216,0.6251153349876404,0.4939536154270172,0.467805415391922,0.466949999332428,0.24841727316379547,0.5916091799736023,0.6619205474853516,0.42983564734458923,0.9842104911804199,0.8376331329345703,0.1578332632780075,0.12556281685829163,0.07409283518791199,0.00960876327008009,1.1776601076126099,0.10132154077291489,0.8132808208465576,0.5113316178321838,0.7449292540550232
NVIC0090,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,-2.094669342,0.4268636405467987,0.6144891977310181,0.9748356342315674,0.9926350712776184,0.9553604125976562,0.9948603510856628,0.84983891248703,0.3072289824485779,0.23794086277484894,0.27644601464271545,0.5782022476196289,0.6244226098060608,0.6602109670639038,0.6025899052619934,0.3917433023452759,0.36998456716537476,0.8179379105567932,0.31371593475341797,0.9040749073028564,0.38202112913131714,0.38039183616638184,0.5380820631980896,0.3325170874595642,0.2451799362897873,0.92170250415802,0.9523959159851074,-2.747523785,0.6055129170417786,1.9950337409973145,0.030567592009902,0.033045653253793716,0.0687166377902031,0.09994681179523468,0.1333978921175003,0.21703770756721497,0.23044385015964508,0.037301987409591675,0.08268573135137558,0.03464658558368683,0.038566023111343384,0.10635527223348618,0.15300874412059784,0.048025377094745636,0.9292252659797668,0.8937447667121887,0.895207405090332,0.8224197030067444,0.8461270928382874,0.8540143370628357,0.8356596231460571,0.8401418328285217,0.9954641461372375,1.8045156002044678,0.30610519647598267,0.20913709700107574,0.1035831868648529,0.3242301046848297,2.3943324089050293,0.07755012065172195,0.34843966364860535,0.4764305651187897,0.3374948799610138
NVIC0091,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,-2.744580507,0.629967987537384,0.0055932654067873955,0.043026503175497055,0.33774712681770325,0.003189580049365759,0.10612687468528748,0.8804270029067993,0.4564231336116791,0.007887695915997028,0.0191364549100399,0.0228264257311821,0.1418321430683136,0.16587822139263153,0.6849794387817383,0.12738822400569916,0.2851497530937195,0.4807698726654053,0.280854195356369,1.0103273391723633,0.2885288596153259,0.6685867309570312,0.8944823145866394,0.17851153016090393,0.11108048260211945,0.7923885583877563,0.8442237377166748,-3.132780552,0.47572067379951477,2.1987290382385254,0.057380180805921555,0.009302147664129734,0.08609768003225327,0.05110899731516838,0.11081816256046295,0.04571062698960304,0.06546591222286224,0.010873861610889435,0.013847606256604195,0.013813807629048824,0.01671687141060829,0.015765564516186714,0.040724508464336395,0.07605116814374924,0.4920380413532257,0.4445895850658417,0.42626070976257324,0.7414907813072205,0.5452086925506592,0.6503910422325134,0.6894187331199646,0.42497628927230835,0.9791526198387146,0.7513618469238281,0.13794317841529846,0.08615417033433914,0.03652464598417282,0.010507126338779926,0.6104471683502197,0.10364866256713867,0.3514803946018219,0.20931357145309448,0.30112162232398987
NVIC0092,NC(=O)c1nc(F)c[nH]c1=O,-2.939851522,0.8480779528617859,0.008788345381617546,0.11190401762723923,0.319564551115036,0.008660406805574894,0.13847927749156952,0.8180553913116455,0.6298191547393799,0.04779200255870819,0.43539300560951233,0.0602969154715538,0.3402147889137268,0.09312749654054642,0.577407956123352,0.3053639829158783,0.48257261514663696,0.2633201777935028,0.5603201389312744,-0.00101801753,0.6276463866233826,0.8746995329856873,0.8094953298568726,0.17254643142223358,0.22773794829845428,0.4450875222682953,0.08897682279348373,-3.565938473,0.09193738549947739,1.2367651462554932,0.03688832372426987,0.005291383247822523,0.020295804366469383,0.013913090340793133,0.04936381056904793,0.07610921561717987,0.04387129843235016,0.01257207989692688,0.009686880744993687,0.028341500088572502,0.010320274159312248,0.012930820696055889,0.016077842563390732,0.03772943466901779,0.5138229131698608,0.10285055637359619,0.09421823918819427,0.09975193440914154,0.1364109218120575,0.09333329647779465,0.11331131309270859,0.09255430847406387,0.2554183006286621,-0.6558526158,0.08849558234214783,0.09050089865922928,0.07170356065034866,0.008422577753663063,-0.2710469365,0.4805544316768646,0.6366633772850037,0.3960426449775696,0.6123902797698975
NVIC0093,CC(C)NCC(O)COc1cccc2ccccc12,-1.969599485,0.4273585081100464,0.28079840540885925,0.9111585021018982,0.9717622995376587,0.7407952547073364,0.9726687073707581,0.9161498546600342,0.15953676402568817,0.0867108404636383,0.10490842908620834,0.5182852149009705,0.5008958578109741,0.2759001851081848,0.7363181710243225,0.2498629242181778,0.24793919920921326,0.4153797924518585,0.192351296544075,0.8283606767654419,0.22593936324119568,0.5102043747901917,0.6966174840927124,0.052133526653051376,0.21282610297203064,0.9078661799430847,0.9838190674781799,-2.549256802,0.6534092426300049,2.129678964614868,0.006456129252910614,0.010276926681399345,0.01724451594054699,0.022946005687117577,0.030500223860144615,0.06511794775724411,0.04692171886563301,0.01093248464167118,0.015200551599264145,0.00970503967255354,0.006264135707169771,0.024349886924028397,0.05551762133836746,0.010401577688753605,0.7910281419754028,0.5681230425834656,0.5634759068489075,0.2806655764579773,0.3127880394458771,0.43143197894096375,0.3285374939441681,0.4522492289543152,0.9128541946411133,0.8643955588340759,0.2766319513320923,0.19925342500209808,0.10359083861112595,0.04429531842470169,1.1191275119781494,0.09003904461860657,0.3340645432472229,0.46216148138046265,0.30828380584716797
