NVIC_id,SMILES,logS,logP,pKa,Acidic_pKa,Basic_pKa,Caco_2_c,Caco_2,HIA,MDCK,F50,F30,F20
NVIC0001,NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,-7.294322968,6.242768287658691,6.077941417694092,5.994418621063232,7.111114501953125,0.48706310987472534,-5.221775055,0.9616149663925171,0.24152784049510956,0.7029634714,0.9212391972541809,0.9554140567779541
NVIC0002,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,-7.870466232,7.8835554122924805,7.8112359046936035,7.267433166503906,7.366794109344482,0.4094368517398834,-4.81155777,0.8775483965873718,0.302447110414505,0.2700214684,0.46098822355270386,0.7103031873703003
NVIC0003,C=C(C)[C@@H]1Cc2c(ccc3c2NC(=O)[C@]32C[C@@]34NC(=O)[C@]5(CCCN5C3=O)C[C@@H]4C2(C)C)O1,-4.412050247,2.0674023628234863,4.782029628753662,4.57178258895874,6.3779520988464355,0.6176367998123169,-5.003668308,0.9068607687950134,0.5590781569480896,0.4480129182,0.7185876965522766,0.7687536478042603
NVIC0004,CC(=O)C12c3ccccc3C(c3ccccc31)[C@H]1C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@@H]12,-6.537439346,5.090322971343994,3.6541731357574463,3.475914239883423,3.148827075958252,0.6359879374504089,-4.922081947,0.9598298668861389,0.593607485294342,0.7357897758,0.8797680139541626,0.9190069437026978
NVIC0005,O=C(CSc1nnnn1-c1cccc2ccccc12)N1CCCc2ccccc21,-4.917527676,3.2443923950195312,3.1734747886657715,5.773495197296143,1.040118932723999,0.7512078881263733,-4.722695351,0.9566890001296997,0.87144935131073,0.4081763327,0.4821507930755615,0.5202569365501404
NVIC0006,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCCCCCN3C(=O)C=CC3=O)CC[C@@H]12,-6.543387413,5.19949197769165,9.179152488708496,7.975020885467529,9.461609840393066,0.20868612825870514,-5.735226631,0.9109243154525757,0.17885780334472656,0.3035013676,0.6324397921562195,0.7807131409645081
NVIC0007,CC(C)C[C@@H]1N[C@@H]2N(C1=O)c1ccccc1[C@]21C[C@@H]2C(=O)N[C@](C)(O1)c1nc3ccccc3c(=O)n12,-5.515994072,2.528486728668213,6.528073787689209,6.2976765632629395,6.567606449127197,0.04383258521556854,-6.121417522,0.6852065324783325,0.22559583187103271,0.2555709481,0.49265509843826294,0.6397850513458252
NVIC0008,COc1ccccc1-c1cc2ccc(Cl)cc2[nH]c1=O,-5.090868473,3.463895320892334,5.602156162261963,9.483636856079102,3.3739821910858154,0.9580072164535522,-4.605240822,0.9958251714706421,0.7256466150283813,0.8425525427,0.9466131329536438,0.9658452272415161
NVIC0009,N/C(=N\Cc1ccccc1)NC(=O)c1nc(Cl)c(N)nc1N,-2.148511887,0.9548516273498535,6.050902366638184,7.172257900238037,6.338401794433594,0.8074184060096741,-4.926197052,0.9851329326629639,0.6004311442375183,0.8843780756,0.960162878036499,0.9707649350166321
NVIC0010,CC(C)[C@@]1(O)[C@@H](OC(=O)c2ccc[nH]2)[C@@]2(O)[C@@]3(C)C[C@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@]41C,-3.054356098,0.014813005924224854,7.834982395172119,8.227011680603027,7.406213283538818,0.0564730204641819,-6.117014408,0.663450300693512,0.4009796679019928,0.4001688957,0.6479886770248413,0.6706243753433228
